strategy,head_norm,relation_norm,tail_norm,support_count,example_title,example_sentence,is_correct,notes
rule_based_regex,Roy,meets,Betty Weston,1,The Yellow Rose of Texas,"Portraying a performer on a showboat as an undercover guise, Roy meets Betty Weston (Dale Evans), the daughter of the alleged robber Sam Weston (Harry Shannon), who has recently escaped from prison",1,
rule_based_regex,Leif,kills,Egil,1,The Viking,"Leif kills Egil, but is enraged when Helga reveals that she loves Alwin",1,
rule_based_regex,Junior,loves,Milo,1,Surf Party,"While the girls are learning to surf, Terry falls in love with Len (Bobby Vinton), the operator of a local surf shop; Junior falls in love with Milo (Ken Miller), a new surfer; and Sylvia falls in love with Skeet (Jerry Summers",1,
rule_based_regex,Ralph,travels_to,New York,1,New Morals for Old,"Eventually, Phyl marries her paramour and Ralph returns to New York, having failed as an artist",1,
rule_based_regex,O'Hara,finds,Weber,1,Secret Venture,"O'Hara finds Weber (Frederick Valk) in Paris, and learns that he now has the briefcase in his possession but is unable to decipher the contents which appear to be written in a complex code",1,
rule_based_regex,John Coble,finds,Horn,1,Tom Horn,Cattle company owner John Coble finds Horn in the livery and offers him his ranch to recuperate,1,
rule_based_regex,James Joyce,meets,Nora Barnacle,1,Nora,"Walking down Dublin's Nassau Street, James Joyce meets Nora Barnacle, a young and attractive woman from Galway",1,
rule_based_regex,Bugs,shoots,Sam,1,Bugs Bunny Rides Again,"Bugs and Sam draws out increasingly bigger guns; Bugs shoots Sam's nose with a pea shooter, and, after performing a soft shoe routine, tricks him into falling into a mine shaft.[4] When Sam returns to the surface, Bugs dares him to cross lines drawn with his foot Sam does so until he falls off the cliff",0,
rule_based_regex,January,helps,Judkins,1,Captain January,January helps Judkins with his tasks around the lighthouse,1,
rule_based_regex,Purdy,meets,Kelp,1,The Nutty Professor,"Purdy meets Kelp backstage, and confesses that she prefers Kelp over Buddy Love",1,
off_the_shelf_textacy_svo,information,enables,Dorval accomplice,1,Men of Chance,"Marthe's inside information enables Dorval and an accomplice, bookie Joe Farley, to bribe Johnny's jockeys to deliberately lose races or to help them influence the odds",0,
off_the_shelf_textacy_svo,use,to_recruit,Irregulars,1,The Battle of Rogue River,"On arrival at the Fort, Major Wallach has allowed the use of his barracks to recruit more Irregulars for Stacey Wyatt (Richard Denning) who accompany the regulars on their military expeditions",0,
off_the_shelf_textacy_svo,Miss Daisy,attends,dinner,1,Driving Miss Daisy,"But American society is undergoing radical changes, and Miss Daisy attends a dinner at which Dr. Martin Luther King gives a speech",1,
off_the_shelf_textacy_svo,both,wear,hat,1,The Boat,Buster is married with two children (both of whom wear the porkpie hat made famous by Keaton,0,
off_the_shelf_textacy_svo,Boolie,drives,Hoke,1,Driving Miss Daisy,"Boolie, now 65, drives Hoke to the retirement home to visit Miss Daisy, now 97.[4",1,
off_the_shelf_textacy_svo,Horn,accepts,fate,1,Tom Horn,"As his execution nears, Horn accepts his fate and remains resolved in the moments before he is hanged",1,
off_the_shelf_textacy_svo,Doc,manages,to shoot him,1,At Gunpoint,"All but Bob give up and, as the outlaw approaches Jack, Doc manages to shoot him",0,
off_the_shelf_textacy_svo,power linesman Lucky Walden,owes,gambling debts interest,1,Bad Guy,"A power linesman by trade, Lucky Walden owes gambling debts, plus interest, to crooked gamblers",1,
off_the_shelf_textacy_svo,mission,resulted,nothing,1,Assault on a Queen,"They survive, paddling a raft, but their mission has resulted in three deaths and netted them nothing",1,
off_the_shelf_textacy_svo,parts,include,discovery,1,Trader Horn,"The fictional parts of the plot include the discovery of a white blonde jungle queen, the lost daughter of a missionary, played by Miss Booth",1,
